route_id,agency_id,route_short_name,route_long_name,route_type,route_color,competent_authority,route_desc
a59ed97752d8c29e8f81a8d3b29a72e7,898970,192,Tartu - Tabivere - Palamuse - Kuremaa - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin on käigus iga päev k.a riigipühadel<br>Ilmajaam (14:10) peatuses peatub buss ainult E-R, L-P ja riigipühadel buss seal ei peatu<br>Peatused Liiva ja Salvest ainult sisenemiseks"
7a51b8a0fdb4a7357baf0c0fb8356f3c,60,192A,Võru - Loosi - Vastseliina - Lindora - Loosi - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel.<br>Liiklus toimub aprillist novembrini esmaspäeval, kolmapäeval ja reedel (v.a riigipühad)"
d60a01ec8f0a4482f9e8fbe3948f7292,60,192B,Võru - Loosi - Vastseliina - Lindora - Loosi - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel.<br>Liiklus toimub detsembrist märtsini esmaspäeval, kolmapäeval ja reedel (v.a riigipühad)"
48385ee9d7267c66f3930a67a9e52197,78,193,Tartu - Võru,3,660000,Maanteeamet,"Väljumine 15:58: Peatust Kaitseväe teenindatakse ainult eelmüügist ostetud piletiga sõitja olemasolul."
f0b59ee8b73a9668ecf19aa21c3c5af9,898970,193,Jõgeva - Kaarepere -Tabivere - Tartu,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>Peatuses Salvest ja Vene peatub buss reisijate väljumiseks"
62423714889167fce81e5958a2da0b06,60,193A,Võru - Loosi - Vastseliina - Tahma - Loosi - Võru,3,3bb5db,Võru MV,"Liiklus toimub aprillist novembrini teisipäeval ja neljapäeval (v.a riigipühad)<br>Ei ole käigus riigipühadel."
3b901f49bd035ada7b455656c96cb605,60,193B,Võru - Loosi - Vastseliina - Tahma - Loosi - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel.<br>Liiklus toimub detsembrist märtsini teisipäeval ja neljapäeval (v.a riigipühad)"
99c2d40f02551fd1a5c40ccd86eea44f,100043,194,Tallinn - Paide - Viljandi - Tõrva,3,660000,Maanteeamet,
57ec59eae9ce8a226f98559095478f0b,898970,194,Tartu - Tabivere - Kaarepere - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>Peatused Liiva ja Salvest ainult sisenemiseks"
2ed338c5c7699514b0fc76958f1cbad7,60,194A,Võru - Loosi - Vastseliina - Tahma - Loosi - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel.<br>Liiklus toimub aprillist novembrini laupäeval ja pühapäeval (v.a riigipühad)"
b8a6c68cbfade3b2de1b45d7a58a4872,60,194B,Võru - Loosi - Vastseliina - Tahma - Loosi - Võru,3,3bb5db,Võru MV,"Ei ole käigus riigipühadel.<br>Liiklus toimub detsembrist märtsini laupäeval ja pühapäeval (v.a riigipühad)"
47e0a3bef17bc395ce356d21861d37cd,60,196,Võru - Vastseliina - Koidula - Vastseliina - Võru,3,3bb5db,Võru MV,"Käigus ka kõikidel riigipühadel."
240c6bb82d6ac21439167656aaa8dc2d,898970,197,Jõgeva - Laiuse - Sadala - Torma - Mustvee,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>Liin on käigus 01.10 - 30.04"
998f0e9c937e6b27bfa894b94a449102,60,197,Vastseliina - Koidula - Vastseliina - Võru,3,3bb5db,Võru MV,"Käigus ka kõikidel riigipühadel."
2589e91e3cc11697aee166913d5164ba,898970,198,Mustvee - Torma - Sadala - Laiuse - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin on käigus 01.10 - 30.04<br>Liin ei ole käigus riigipühadel"
eef88b4398e381cda5dc0158a2e54e24,60,198A,Võru - Loosi - Lindora - Vastseliina,3,3bb5db,Võru MV,"Loosi mõisa peatust teenindatakse ainult nõudmisel. Sõidusoovist nõudepeatusesse teavitada bussijuhti sisenemisel. Pealetuleku soovi korral nõudepeatusest teatada hiljemalt 2 tundi enne algpeatusest väljumist tel 6404000.<br>Liiklus toimub aprillist novembrini esmaspäeval, kolmapäeval, reedel, laupäeval ja pühapäeval (riigipühal käigus vastavalt nädalapäevale)"
699299adcc681410d7ba4fcbdb865701,60,198B,Võru - Loosi - Lindora - Vastseliina,3,3bb5db,Võru MV,"Liiklus toimub detsembrist märtsini esmaspäeval, kolmapäeval, reedel, laupäeval ja pühapäeval (riigipühal käigus vastavalt nädalapäevale)<br>Loosi mõisa peatust teenindatakse ainult nõudmisel. Sõidusoovist nõudepeatusesse teavitada bussijuhti sisenemisel. Pealetuleku soovi korral nõudepeatusest teatada hiljemalt 2 tundi enne algpeatusest väljumist tel 6404000."
79da6adc987eae46f664d233c8d69afe,632,199,Tartu - Mustvee - Jõhvi - Narva,3,660000,Maanteeamet,
54cc3b8d1469075ad4028df07b375809,898970,199,Mustvee - Torma - Sadala - Laiuse - Jõgeva,3,3bb5db,Jõgeva ÜTK,"Liin ei ole käigus riigipühadel<br>Liin on käigus 01.05 - 30.09<br>Torma kalmistu (10:32) ja Laiuse kalmistu (11:02) on tellimise alusel. Buss läbib peatust kas reisija nõudmisel või eelneva tellimuse alusel, tellimus esitada hiljemalt samal päeval kell 09:00"
a6aedb5d4ceea373d4f57cf603c21cb2,60,199A,Võru - Loosi - Tahma - Vastseliina,3,3bb5db,Võru MV,"Liiklus toimub aprillist novembrini teisipäeval ja neljapäeval (riigipühal käigus vastavalt nädalapäevale)"
295596813d3063ec9fc902593f6a9f8c,60,199B,Võru - Loosi - Tahma - Vastseliina,3,3bb5db,Võru MV,"Liiklus toimub detsembrist märtsini teisipäeval ja neljapäeval (riigipühal käigus vastavalt nädalapäevale)"
1f7440497073425c3880b050dde4e3b6,100047,19A,Karksi-Nuia - Viljandi,3,3bb5db,Viljandi MV,"Riiklikel pühadel toimub liiklus pühapäevase sõiduplaani järgi"
784f629fa9a076fc3b7d8007a8de82bd,100047,19B,Viljandi - Tuhalaane - Polli - Karksi-Nuia,3,3bb5db,Viljandi MV,"Liin on käigus ka riiklikel pühadel"
d14374f41e2227b09df315c8674a64d6,317,1A,Haapsalu bussijaam - Rohuküla sadam TASULINE NÕUDELIIN,3,3bb5db,Lääne MV,"Liin on riigipühadel käigus pühapäevase sõiduplaani alusel<br>Buss sõidab koolipäevadel marsruudil Rohuküla - Veekeskus - Kastani kauplus - Suur-Lossi - Uuemõisa - Lossiplats<br>Teenus toimib ettetellimisel läbi tellimiskeskuse telefonil 6120 063. Sõidusoovist tuleb anda teada hiljemalt sõidule eelneva päeva kella 18:00-ks."
858c78836debb49699a9992570ff2d16,50,1A-I,Merimetsa - Mai - Karja - Oja - V-Savi,3,de2c42,Pärnu LV,
450919433f11f516db491a17c34cd395,50,1A-II,Vabaduse park-Papiniidu-Haigla-Oja-Teater-Papiniidu-Niidupark,3,de2c42,Pärnu LV,"Liin on käigus tööpäevadel"
f676ca0e35b780c56c3cf4cc65076fa8,60,1I,Räpina - Värska veekeskus,3,3bb5db,Põlva MV,"Käigus 1. septembrist 5. juunini. Ei ole käigus riigipühadel."
21ae67043f5330b856ebc8db5a6872d1,60,1J,Värska veekeskus - Räpina,3,3bb5db,Põlva MV,"Käigus 1. septembrist 5. juunini. Ei ole käigus riigipühadel."
7de6b9a968c31b8a10005b3a41dd6720,100047,2,Männimäe - Peetrimõisa - Viiratsi,3,de2c42,Viljandi MV,"Liin ei ole käigus riiklikel pühadel"
16e58cca214395b5063d8f321c948fc1,60,2,Paemurru - Sepa - Narova - Sepa - Paemurru,3,de2c42,Narva LV,
ee7facb5317e77d62932f2c519f71d32,60,2,Keskv-Lennujaam-Merev-Kesklinn-Sikass-Kiviraie-Smuuli-Keskv,3,de2c42,Saare MV,"NB talvel ja suvel erinevad graafikud<br>liin ei ole käigus riigipühadel"
207339071cf4cfb8ed227dda5de8c74f,60,2,Tehase - Polikliinik - Kannuka - Ranna - Tehase,3,de2c42,Sillamäe LV,"Riigipühadel kehtib pühapäevane sõiduplaan"
3ef88e812ba19553a78abfe309c76563,60,2,Lõunakeskus - Kannikese - Nõlvaku,3,de2c42,Tartu LV,"Liin on riigipühadel käigus pühapäevase sõiduplaani järgi"
c0c52460524608f6b2a8719e771b2647,295,2,Piira - Lihakombinaat,3,de2c42,Lääne-Viru MV,"Liin ei ole käigus riigipühadel"
b2e66263346d2d10d74282a1b6daadd9,50,2,Haigla - Oja - Supelrand - Oja - Haigla,3,de2c42,Pärnu LV,"Buss käigus tööpäevadel 28 augustist - 4 juuni<br>Buss käigus tööpäevadel 28 augustist - 4 juuni<br>Buss käigus tööpäevadel 28 augustist - 4 juuni<br>Buss käigus tööpäevadel 28 augustist - 4 juuni"
b023e576b3322eb89f991debe34ac77e,56,2,Balti jaam - Mõigu,3,de2c42,Tallinna TA,
4ec77920f53c37b544246f56b83a991c,100082,2,Tolli - Raekoja - Palu - Raekoja - Riisali - Rükkeli,3,3bb5db,Valga MV,"Pühapäevadel ja riiklikel pühadel alustab liin tööd 08:09<br>vaheaeg kell 9:53 - 11:00  ja  18:31 - 19:01<br>TASULINE  LINNALIIN"
bbdcfd5aef9a60fb5fc98718f90c15e5,317,2,Uuemõisa - Holmi,3,3bb5db,Lääne MV,"TASUTA"
1b9660ba37d124940064403c88a1b65e,56,2,Kopli - Suur-Paala,0,016e12,Tallinna TA,
8ad9c8fe7edd07d5a4bbfca6d9c852c4,50,20,Haigla - Oja - Vabaduse park,3,de2c42,Pärnu LV,"Liin käigus tööpäevadel 01.09 kuni 12.06"
36edeafa025deda530cd260f4f88670f,56,20,Reisisadama D-terminal - Pääsküla jaam,3,de2c42,Tallinna TA,
cb539e946281066e4d1da81bcd0340d4,100047,20,Suure-Jaani - Vastemõisa - Päri - Viljandi,3,3bb5db,Viljandi MV,"Liin ei ole käigus riiklikel pühadel<br>Väljumine : Koolipäevadel läbib liin Suure-Jaanis Kooli peatust<br>Väljumine : Viljandisse saabumisel peatused ""Saeveski"", ""Kantreküla"", ""Teatri"", ""Paala tee"", ""Lääne"" ja ""Turg"" reisijatele väljumiseks"
51f935a2bfba6396373d861bad1fb9b2,60,20,Tehnika - Türi bussijaam - Laupa - Kolu -Türi bussijaam,3,3bb5db,Järvamaa ÜTK,"Liin on käigus koolipäevadel<br>Liin ei ole käigus riigipühadel"
